Classes,Object Oriented,Definitions,Universal
Classes,100,What is Root Class,The top most or most generalized user class of an inheritance hierarchy.
Classes,100,What is a Sub-Class,In an inheritance hierarchy@ a sub-class is derived from an associated superclass.~~A subclass is a specialization of the generalized superclass.
Definitions,100,What is Class Hierarchies?,Hierarchies is the ordering of classes.~~Object Oriented Hierarchies are inheretance and aggregation.
Object Oriented,100,What is Overloading?,When a Sub-Class specifies an alternative definition for an attribute or method of a superclass@ it is overriding the definition in the superclass.~~Also called overloading~~Subclass uses same name if overriding a default method of the superclass.~~Sometimes doesnt need to override the method as long as it is adequeate.
Object Oriented,100,What is Reference value?,A data element whose value is an address.~~In java@ all objects are accessed by a reference.~~Any object variable is a reference to an actual object@ not the object itself.
Universal,100,What is Derived?,In an inheritance hierarchy@ a subclass is derived from a Superclass~~The derived subclass inherits the attributes and methods of the parent superclass.
Classes,200,What is Generalization?,Generalized class is known as the Super-Class (or Parent Class).
Classes,200,What is Class?,Classes are identified by a name@ and are a template or blueprint for defining attributes and operations.~~A description of a collection of objects with common attributes and behaviors.~~Specifications of a class include attributes comprising the state@ methods that carry responsibilities of the class and how to set the initial state of an object.
Definitions,200,What is a Superclass?,In an inheritance hierarchy@ a super-class is a more generalized class.~~A subclass is derived from a super-class. (Parent or base class)
Object Oriented,200,What is messages?,How objects communicate to other objects@ by the sender or caller sending messages.~~Invoking or calling a class method ~~ by having a class method called by a different object.~~ The ONLY way objects communicate.~~Used to change the state or request change to an object.
Object Oriented,200,What is a Constructor?,An operation that creates an object and defines its initial state.~~For complex objects@ construction can be a significant activity and cause the constructors of other objects to be invoked as-well.
Object Oriented,200,What is an Identity?,The characteristics or state of an object that distinguishes it from other objects.
Universal,200,What is Multiplicity?,An attribute that quantifies an association between objects.~~Specified as the range of number of objects that can participate in the association between classes.~~Usual format ''n..m'' where ''n'' is lower and ''m'' is upperlimit.~~''*'' means unlimited.
Classes,300,What is Inheritance?,A mechanism that allows one class (sub-class) to share attributes and behaviors of another class.~~Defines a ''is-a'' relationship~~Subclass inherits attributes and behaviors of the super-class and usually extends or modifies those attributes.
Classes,300,What is Multiple-inheritance?,When a sub-class is derived from multiple superclasses@ it is said to have multiple inheritance.
Classes,300,What is Method?,An operation or Service performed upon an object@ defined as 'Part Of' the declaration of a class.~~Used to implement object or behavior.~~Synonyms: Function@ Operation@ Service.
Definitions,300,What is Generalization & Specialization?,Known as a ''Type-Of'' or ''Is-A'' relationship.~~Common features between classes go in the super class@ and the features that make the different (specialization) go in the sub-classes.~~No cardinality with Generalization or Specialization.
Object Oriented,300,What is ''Part-of'',The opposite of ''has-a''~~The component is a ''part-of'' the whole.
Object Oriented,300,What is an Attribute?,Characteristics that describe an object.~~A property or trait that is associated with an Object.~~Ex: Attribute defines height@ weight@ and name of Human
Universal,300,What is Cardinality?,When relating 2 objects@ refers to the number of expected instances of each class. ~~Many to One~~One to Many~~Many to Many~~One to One
Classes,400,What is Specialization?,The specialized class is known as a sub-class (or child class)~~Sub-class inherits characteristics from a Super-Class (Parent) and expands them.
Classes,400,What is Dynamic Link Library?,Resolved at run-time & can be changed without recompiling the program.~~During execution (runtime) the program links the library file (.dll)~~It's more preferred than .sll@ easier to upgrade@ must be located in centralized locations@ bugs can cripple all programs that use it.
Definitions,400,What is ''Aggregation''?,A whole/part hierarchy~~Aggregate objects include (''has-a'') other objects@ each of which is considered to be a part of (part-of) the aggregate object.~~A relationship between classes where one class will be made up / contain objects of another class.~~One class acts as the container and the other as the contents. 
